video = TheSwissAccount
segmentDuration=2
numberOfSegments=299
AvgSigma/mu=0.036956395701932
reprId,screenWidth,screenHeight,bitrate,sigma/mu, avgchunksize
1,480,360,80,0.0579961265233233,119.833658862876
2,480,360,165,0.0415561385066449,242.090782608696
3,480,360,375,0.0340395888285653,554.896000000000
4,480,360,730,0.0306446772405097,1049.78207357860
5,1280,720,300,0.0435884614621050,638.184615384615
6,1280,720,420,0.0386343135836840,847.400133779264
7,1280,720,585,0.0343886599405611,1132.17717725753
8,1280,720,920,0.0299019339446362,1717.18362541806
9,1280,720,1500,0.0266391479526706,2739.08074916388
10,1280,720,2350,0.0233906396962136,4208.10408026756
11,1920,1080,350,0.0523025234228145,1087.96709030100
12,1920,1080,470,0.0474700853112857,1351.75248160535
13,1920,1080,630,0.0432705501707734,1700.84294314381
14,1920,1080,875,0.0390027996581480,2163.26156521739
15,1920,1080,1130,0.0349430973204769,2763.15630769231
16,1920,1080,1520,0.0305472934277396,3589.04395986622
17,1920,1080,2040,0.0264937384651144,4651.42793311036
18,1920,1080,2750,0.0223928047654375,6079.55106354516

