segmentDuration=2
numberOfSegments=600
reprId,QualityIndex,screenWidth,screenHeight,bitrate
1,0.25,640,360,235
2,0.50,640,360,375
3,0.75,640,360,560
4,1.00,640,360,750
10,0.5,960,540,1050
11,1.0,960,540,1750
20,0.5,1280,720,2350
21,1.0,1280,720,3000
30,0.5,1920,1080,4300
31,1.0,1920,1080,5800
