segmentDuration=2
numberOfSegments=299
AvgSigma/mu=0.025216492192589
reprId,QualityIndex,screenWidth,screenHeight,bitrate,sigma/mu,avgchunksize
11,0.125,1920,1080,350,0.0392005881613388,1597.77648160535
2,0.250,1920,1080,470,0.0364310657849926,1913.16596655518
3,0.375,1920,1080,630,0.0338722722181303,2357.18993979933
4,0.500,1920,1080,875,0.0311661447071784,2975.12901672241
5,0.625,1920,1080,1130,0.0279003426232315,3823.09570568562
6,0.750,1920,1080,1520,0.0239717957468280,5019.52345150502
7,0.875,1920,1080,2040,0.0203521125447130,6591.28331772575
8,1.000,1920,1080,2750,0.0177087487784741,8593.41056856188
