segmentDuration=2
numberOfSegments=299
AvgSigma/mu=0.036956395701932
reprId,QualityIndex,screenWidth,screenHeight,bitrate,sigma/mu, avgchunksize
1,0.166,1920,1080,350,0.0523025234228145,1087.96709030100
2,0.333,1920,1080,470,0.0474700853112857,1351.75248160535
3,0.500,1920,1080,630,0.0432705501707734,1700.84294314381
4,0.666,1920,1080,875,0.0390027996581480,2163.26156521739
5,0.833,1920,1080,1130,0.0349430973204769,2763.15630769231
6,1.000,1920,1080,1520,0.0305472934277396,3589.04395986622
